,Age,CapitalGain,CapitalLoss,HoursPerWeek,Work-Class,Education,Marital_status,Ocupation,Relationship,Race,Sex,Country,prediction
4037,28,0,0,40, Private, 10th, Divorced, Other-service, Not-in-family, White, Female, United-States,0
23076,23,0,0,37, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, Mexico,0
15166,47,0,0,34, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
29644,46,0,0,40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
11953,27,0,0,40, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0
27346,41,0,0,45, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
4238,61,0,0,50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
11038,30,0,0,40, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male, United-States,0
22367,44,0,0,45, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, Mexico,0
15159,54,0,0,40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0
1121,45,4865,0,40, Federal-gov, HS-grad, Divorced, Tech-support, Not-in-family, White, Female, United-States,1
362,43,0,0,45, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
11230,66,0,1825,10, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
8420,26,0,0,18, Private, Bachelors, Never-married, Sales, Own-child, White, Male, United-States,0
4784,30,0,1848,50, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
11968,25,0,0,40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
5387,24,0,0,40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,0
12488,30,0,0,65, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
18527,48,0,1902,40, State-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
15723,36,0,0,40, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male, United-States,0
2318,62,0,0,60, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
21217,28,0,0,40, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male, United-States,0
2140,54,0,0,38, Local-gov, Masters, Widowed, Prof-specialty, Unmarried, White, Female, United-States,0
27516,20,0,0,50, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States,0
27213,44,0,0,54, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
15716,46,0,0,40, Private, Some-college, Divorced, Sales, Unmarried, White, Female, United-States,0
13287,34,0,0,55, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
3832,24,0,0,40, Private, 11th, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male, Vietnam,0
26509,45,0,0,40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
2420,66,0,2174,40, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male, United-States,1
23214,49,5013,0,50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
13386,32,0,0,44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
163,28,0,0,40, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, England,0
30862,55,2228,0,50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
23351,24,0,0,25, ?, Bachelors, Never-married, ?, Not-in-family, Asian-Pac-Islander, Male, Taiwan,0
8560,32,0,0,30, Private, Some-college, Divorced, Sales, Own-child, White, Male, United-States,0
12861,60,0,0,40, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
27337,31,0,0,35, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female, United-States,0
10275,30,0,0,20, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
22409,27,0,0,40, State-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Male, Scotland,0
17177,29,0,0,40, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male, United-States,0
14128,42,0,0,40, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
795,22,0,0,20, Private, Some-college, Never-married, Other-service, Other-relative, Black, Male, United-States,0
2864,29,0,0,25, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female, United-States,1
26986,20,0,0,40, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States,0
28286,52,0,0,40, Local-gov, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
25629,22,0,2824,40, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Black, Male, ?,0
22741,22,0,0,40, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
15229,53,0,0,40, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
25921,54,0,0,50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
2019,23,0,0,40, Private, 11th, Never-married, Craft-repair, Own-child, White, Male, United-States,0
15380,35,0,0,40, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Canada,0
23658,48,0,0,45, Private, Some-college, Divorced, Sales, Unmarried, White, Male, United-States,0
7262,31,0,0,40, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female, United-States,0
8822,69,0,0,9, ?, HS-grad, Widowed, ?, Not-in-family, White, Female, United-States,0
5892,21,0,0,45, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
25509,62,0,0,40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
26196,28,0,0,40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male, United-States,0
17842,57,0,0,60, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
27382,19,0,0,30, ?, Some-college, Never-married, ?, Own-child, White, Female, United-States,0
25034,33,0,0,40, ?, Some-college, Divorced, ?, Unmarried, White, Female, United-States,0
9962,47,0,0,60, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
21585,27,0,0,40, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
27811,30,0,0,40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
27664,23,0,0,30, Private, Bachelors, Never-married, Sales, Own-child, White, Female, England,0
19814,61,4865,0,40, ?, HS-grad, Divorced, ?, Not-in-family, White, Male, United-States,0
9129,29,0,1485,40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
22095,25,0,0,60, Private, Masters, Never-married, Prof-specialty, Own-child, White, Female, United-States,0
9482,52,0,0,40, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
15631,42,0,0,40, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
10939,25,0,0,55, Private, Masters, Never-married, Sales, Not-in-family, White, Male, United-States,0
6879,41,0,0,40, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
31278,49,0,0,25, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
16091,43,0,0,45, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female, Iran,0
9367,17,0,0,40, ?, 10th, Never-married, ?, Own-child, White, Male, United-States,0
13136,41,0,0,45, Local-gov, Some-college, Divorced, Other-service, Unmarried, White, Female, United-States,0
1588,22,0,0,20, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female, United-States,0
12925,22,0,0,40, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,0
26335,26,0,0,20, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Canada,1
5214,63,0,0,56, ?, Bachelors, Widowed, ?, Not-in-family, Amer-Indian-Eskimo, Female, United-States,0
30064,23,0,0,24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, Greece,0
20640,35,0,0,40, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
1059,45,0,0,47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
22810,25,0,0,70, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male, United-States,0
12623,25,0,0,40, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female, United-States,0
4657,53,0,0,45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
18282,39,0,0,40, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,1
17730,33,0,0,40, State-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,0
28791,64,0,0,40, Local-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female, United-States,0
27466,68,0,0,20, ?, HS-grad, Widowed, ?, Not-in-family, White, Female, United-States,0
7502,40,0,0,40, Private, Some-college, Separated, Other-service, Not-in-family, White, Female, United-States,0
15577,40,0,0,40, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
22478,40,0,2179,40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,1
9881,53,0,0,38, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
22268,69,0,0,32, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female, United-States,0
31643,63,0,1740,40, State-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
7812,62,0,0,40, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
3241,41,0,0,40, Private, Some-college, Separated, Other-service, Not-in-family, Black, Male, United-States,0
20370,56,0,0,40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
30046,29,0,0,40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
15831,43,0,0,50, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,1
20783,17,0,0,30, Private, 10th, Never-married, Other-service, Own-child, White, Female, United-States,0
8216,51,0,0,40, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
24920,19,0,0,18, Private, 12th, Never-married, Sales, Own-child, White, Female, United-States,0
29427,75,0,0,20, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
13659,42,0,0,40, Local-gov, HS-grad, Widowed, Transport-moving, Unmarried, White, Female, United-States,0
16955,21,0,0,40, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male, United-States,0
15240,44,0,0,40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,1
25954,30,0,0,45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
4228,38,0,0,40, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Female, United-States,0
13085,44,0,0,38, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
8270,43,0,1977,50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
24924,69,991,0,18, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Female, United-States,0
17246,22,0,0,56, Local-gov, HS-grad, Never-married, Protective-serv, Unmarried, White, Male, United-States,0
25726,43,0,0,40, ?, HS-grad, Never-married, ?, Other-relative, White, Female, United-States,0
14182,52,0,0,40, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Female, United-States,1
29525,37,0,0,40, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, Philippines,1
13407,33,0,1740,50, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
8361,47,0,0,40, Self-emp-inc, Bachelors, Never-married, Sales, Own-child, White, Male, United-States,0
31035,28,5013,0,55, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,1
10642,18,0,0,40, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female, United-States,0
14755,20,2176,0,20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
21271,50,0,0,50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
30530,57,0,0,30, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Male, United-States,1
18877,18,0,0,20, Private, 12th, Never-married, Sales, Own-child, Black, Female, United-States,0
5098,39,99999,0,65, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
16040,29,0,0,50, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
20228,26,2597,0,40, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States,0
28076,41,0,0,40, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,1
631,49,0,0,40, Local-gov, 10th, Separated, Other-service, Unmarried, Black, Female, United-States,0
100,76,0,0,40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
7988,41,0,0,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
12612,29,3464,0,40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
3686,35,0,0,30, Self-emp-not-inc, HS-grad, Never-married, Other-service, Other-relative, White, Female, United-States,0
5772,42,0,0,40, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female, United-States,0
10866,44,0,0,58, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
18774,30,0,0,40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,0
22816,44,0,0,40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
27706,42,0,0,55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
3151,24,0,0,15, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
20990,60,0,0,37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
14007,29,0,0,40, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
17515,41,0,0,40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0
22927,25,0,0,40, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Female, United-States,0
28699,53,0,0,50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
15491,19,0,0,40, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States,0
29188,48,0,2472,70, Private, Bachelors, Married-spouse-absent, Sales, Unmarried, White, Female, United-States,1
31028,43,0,1977,50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
19999,30,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
14724,31,0,0,48, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States,0
19602,51,0,0,43, Private, HS-grad, Divorced, Sales, Unmarried, White, Female, United-States,0
9054,18,0,0,40, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0
32558,58,0,0,40, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female, United-States,0
28487,45,0,0,66, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male, Yugoslavia,1
12964,46,7688,0,45, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
25770,30,0,0,40, Private, Assoc-voc, Divorced, Sales, Not-in-family, White, Female, United-States,0
16364,64,0,0,20, Private, 5th-6th, Separated, Other-service, Other-relative, White, Female, Cuba,0
3880,54,0,0,48, Federal-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
22524,46,0,0,40, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
21338,35,0,0,61, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
21924,20,0,0,40, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0
13784,73,0,0,40, ?, Prof-school, Married-civ-spouse, ?, Husband, White, Male, United-States,1
6136,31,0,0,40, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
26134,48,0,0,45, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
6887,42,0,0,60, Private, Bachelors, Never-married, Sales, Own-child, White, Male, United-States,0
25984,41,0,0,40, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States,0
5272,90,0,0,40, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
19117,50,0,0,16, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
15079,30,0,0,40, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States,0
14227,17,0,1602,12, Private, 11th, Never-married, Sales, Own-child, White, Female, United-States,0
25237,32,0,0,48, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
8237,47,0,0,40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, Japan,1
21519,22,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
10247,21,0,0,32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
32126,23,0,0,32, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0
19125,19,0,0,15, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male, United-States,0
18405,46,0,0,40, Private, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
12883,56,0,0,40, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
13999,37,0,0,40, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
5248,29,0,0,40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
1348,36,0,0,60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, ?,1
27022,63,0,1485,40, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States,1
20563,62,0,0,2, ?, Masters, Married-civ-spouse, ?, Husband, White, Male, United-States,1
14847,51,0,0,55, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,1
30583,20,0,0,40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
15267,35,0,0,40, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male, United-States,0
15632,60,0,0,46, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
14309,43,0,0,40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
9023,30,0,0,40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
32379,25,0,0,37, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States,0
18104,41,0,0,40, Private, HS-grad, Divorced, Priv-house-serv, Not-in-family, White, Female, Guatemala,0
21204,33,0,0,40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
8466,25,0,0,33, Private, 5th-6th, Never-married, Adm-clerical, Not-in-family, White, Female, Mexico,0
32176,41,0,0,40, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
7501,51,0,1672,70, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
31627,27,0,0,22, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States,0
26915,24,0,0,40, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
13382,31,0,0,40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
7623,41,0,0,40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
8939,40,0,0,50, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
10938,28,0,1980,35, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female, United-States,0
9140,77,9386,0,6, ?, Masters, Married-civ-spouse, ?, Husband, White, Male, United-States,1
23162,22,0,0,45, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,0
12091,20,0,0,20, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States,0
27589,30,0,0,50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
7750,23,0,0,40, ?, HS-grad, Never-married, ?, Not-in-family, White, Male, United-States,0
11987,23,0,0,20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
416,52,0,0,40, Private, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico,0
26413,23,0,0,40, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Male, United-States,0
19620,64,0,0,10, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States,0
31137,35,0,0,50, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States,0
18448,54,0,0,45, Private, 10th, Separated, Transport-moving, Unmarried, Black, Male, United-States,0
21626,38,0,0,40, ?, 7th-8th, Divorced, ?, Not-in-family, White, Female, United-States,0
2527,34,0,1741,45, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Female, United-States,0
31791,46,3137,0,40, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
13289,37,0,0,60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
1000,20,0,0,40, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States,0
21234,68,0,0,35, Private, Bachelors, Widowed, Sales, Not-in-family, White, Male, United-States,1
10026,27,0,0,40, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Male, United-States,0
22803,39,0,0,47, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, White, Male, United-States,0
29001,22,0,0,40, Private, 11th, Never-married, Craft-repair, Own-child, White, Male, United-States,0
7340,20,0,0,25, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States,0
2821,22,0,0,48, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States,0
6180,71,0,0,2, Self-emp-not-inc, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,1
11016,53,0,0,40, Private, 11th, Divorced, Transport-moving, Not-in-family, White, Male, Canada,0
10584,27,0,0,60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
29400,36,0,0,70, Self-emp-inc, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States,0
21983,35,0,0,40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
8511,48,0,0,50, Self-emp-not-inc, Bachelors, Separated, Craft-repair, Not-in-family, White, Male, United-States,0
17239,33,0,0,45, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, Mexico,0
20183,25,0,0,40, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
7618,35,0,0,35, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female, United-States,0
10046,50,0,0,48, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
17264,38,0,1887,45, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
32421,31,0,0,35, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female, United-States,0
10266,56,0,0,99, Self-emp-inc, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
22764,44,0,0,38, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
24117,28,0,0,60, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male, United-States,0
4603,48,7688,0,40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
8021,48,0,0,40, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
26804,44,0,0,45, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,1
13569,19,0,0,28, ?, 12th, Never-married, ?, Own-child, White, Male, United-States,0
20264,43,0,0,40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
15405,49,0,0,40, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
20389,50,0,0,50, Self-emp-not-inc, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male, United-States,0
6768,22,0,0,10, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
2337,22,0,0,25, Private, 10th, Never-married, Transport-moving, Own-child, White, Male, United-States,0
30883,51,0,0,48, Private, Assoc-voc, Divorced, Tech-support, Unmarried, Black, Female, United-States,0
2803,33,0,0,20, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male, United-States,0
21077,41,7688,0,43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
29542,43,0,0,42, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male, United-States,0
5113,59,0,0,40, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female, United-States,0
7696,40,4934,0,47, Private, Some-college, Separated, Craft-repair, Unmarried, White, Male, United-States,1
24249,31,0,0,40, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
11063,21,0,0,20, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
11274,20,0,0,40, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male, United-States,0
24815,50,0,0,35, Private, Some-college, Married-civ-spouse, Adm-clerical, Other-relative, White, Female, United-States,0
27851,34,0,0,40, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male, United-States,0
6740,61,0,1672,40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
1554,62,7688,0,40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, ?,1
959,42,0,0,40, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
12357,30,0,0,40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
32343,66,0,0,40, ?, HS-grad, Widowed, ?, Unmarried, White, Female, United-States,0
10238,20,0,0,40, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0
20615,27,0,0,50, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
29488,36,0,0,70, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male, South,0
19412,43,0,0,40, Local-gov, Some-college, Divorced, Protective-serv, Unmarried, White, Female, United-States,0
30318,39,0,0,40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
24606,47,0,0,60, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, ?,1
11965,46,0,0,40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
21347,30,15024,0,35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
